Job Keyword,Job Title,Company Name,Location,Posted,Applicants,Salary,Remote/Hybrid,Job Type,Job Level,Company Size,Company Type,About Company
 Junior RPA Developer,Automation Engineer,Hyper Recruitment Solutions,"County Dublin, Ireland",4 weeks ago,28 applicants,Not Provided,"On-site
", Contract , Mid-Senior level,11-50 employees,Staffing and Recruiting,"About the jobWe are currently looking for an Automation Engineer to join a leading pharmaceutical consultancy based in Dublin on a 12 month contract. As the Automation Engineer you will be responsible forthe design, programming, simulation, and testing of automated machinery and processes to complete exact tasks.Your duties as the Automation Engineer will be as follows but not limited to:1. Design schematics for automation components using CAD software and analyze production processes to assess automation’s best use2. Manage supply chain issues and perform regular maintenance on automation equipment, performing repairs, and troubleshooting when necessary3. Write requirements for quality assurance and machine operation and regularly calibrate and repair equipment"
 Junior RPA Developer,Automation Engineer,PE Global,Greater Dublin,Reposted 2 days ago,48 applicants,Not Provided,"On-site
", Full-time , Associate,51-200 employees,Staffing and Recruiting,"About the jobPE Global is currently recruiting for an Automation Engineer for a leading biopharmaceutical client based in Dublin. This is an initial 12-month contract position. Position Summary Reporting to the Associate Director for Process Automation the Automation Engineer is part of the BMS team to be part of a Projects team in BMS Cruiserath Ireland. The Engineer is responsible for ensuring reliable and robust DeltaV DCS and vendor packaged equipment automation system technical design to meet business and process requirements including integration to other systems such as MES and the Data Historian. These IT/Automation systems are part of the overall delivery for the project team.  Key Responsibilities· Supporting the Automation Technical Leads and actively participating in the creation review and approval of the project deliverables, such as design documents, the configuration build, FAT, installation, commissioning and validation activities. · Supporting the technical delivery of Automation systems including the site DCS, DeltaV, a number of OEM supplied control systems and their integration to the site MES and Data Historian systems. · Regularly communicating and collaborating with the project team multi-functional team stakeholders including system vendors. · Participating in the development and implementation of the site Automation strategy for the lifecycle support and optimisation of the automation systems on site. Support the development of site procedures for the administration and maintenance of all systems. Actively participate in the ongoing improvement initiatives in support of Operations excellence. · Ensuring all design & project work is completed in compliance with all regulatory requirements. Qualifications & Experience Required Competencies · Problem solver with a focus on achievement of overall project goals. · Proven success working well in a team environment with flexibility to react to changing business needs. Required Qualification(s) and Desired Experience  · Bachelors or Masters Degree in Engineering, Information Systems, Computer Science or the Life Sciences · Experience providing process control and information systems solutions and support to manufacturing organisations in the Biotechnology or Pharmaceutical industries.     Interested candidates should submit an updated CV.Please click the link below to apply, or alternatively send an up-to-date CV to paul.wheatley@peglobal.net  ***Please note our client cannot assist with any visa sponsorship and candidates must have the correct visa to live and work in Ireland***"
 Junior RPA Developer,Automation Engineer,PM Group,"Dublin, County Dublin, Ireland",1 week ago,6 applicants,Not Provided,"Hybrid
", Full-time,Not Provided,"1,001-5,000 employees",Architecture and Planning,"About the jobOverviewAre you an Automation Engineer with the experience in system design for industrial automation equipment from concept stage?We have a fantastic opportunity for an ambitious Automation Engineer to join our growing team in Dublin. With excellent people skills, you have a proven ability to work in partnership at all levels.With high levels of commitment, your responsibilities will include leading various stages of projects from concept to completion. This is an opportunity to be involved in a dynamic engineering department with exposure to multiple projects across different industry sectors.Who We ArePM Group is an employee owned, international project delivery firm with a team of 3,500+ people. We are world leaders in the pharma, food, medtech and mission critical sectors. From our network of offices in Europe, Asia and the US, we work with the world's leading organisations. We are focused on growing a sustainable business centred around our people, our clients and trade partners.ResponsibilitiesControl system design for industrial automation equipment from concept stage.Liaise with clients and the project design team to develop control system design specifications.Select and manage automation contractors through the project life cycle.Review and comment on system integrator and vendor design documentation.Liaise with automation vendors and keep up to date with the latest automation technology trends.Attend control system hardware and software FAT’s. QualificationsQualified to degree level 8 in Electronics systems, Mechatronics, Automation / Controls Technology or equivalent technical experience is required.5+ years’ experienceExperience in software development.Experience in the design of Industrial Control SystemsExperience of design of PLC / DCS based Control Systems.Experience in software architectures and design including S88, GAMP, 21CFRPart 11Knowledge of industrial networks (Ethernet/IP, Profinet, Profibus, Controlnet)Good understanding of Panel drawings and P&ID’SDesign/project experience should be mainly focused in the Pharmaceutical and Medical Devices SectorsApplications should have excellent inter personal and communication skills to liaise with international clients within the different sectorsHave the ability to work to strict deadlinesProactive, a good communicator with the ability to work well with others and on their own initiative in a multi-discipline environmentBe organised and adaptable with a flexible approachWhy PM Group?As an employee-owned company, we are inclusive, committed and driven. Corporate Responsibility and Sustainability are the heart of our new 2025 business strategy. Click here to read more in our Corporate Responsibility and Heath, Safety & Well-being Report 2022.Inclusion and Diversity are core to our culture and values. Wherever we work, we commit to a culture of mutual respect and belonging by building a truly inclusive workplace rich in diverse people, talents and ideas. Valuing the contributions of all our people and respecting individual differences will sustain our growth into the future.PM Group is committed to ensuring our hiring process is fair and accessible to all and will provide candidates with disabilities with reasonable accommodations required to participate in the recruitment process. If you require any assistance in this regard, please let us know."
 Junior RPA Developer,Robotics Engineer,Remobi,European Economic Area,2 weeks ago,87 applicants,Not Provided,"Remote
", Contract , Mid-Senior level,51-200 employees,"Technology, Information and Internet","About the jobRobotic Process Automation Engineer  We are building the world's greatest community of remote technologists!Today, organisations that understand the value of remote working will reap the rewards. Because it doesn’t just provide team members with a healthier work-life balance, it gives you the opportunity to access the brightest minds in the world.Our clients access our community to build or extend their existing teams. All are made up of remote, distributed software engineering experts - the best-in-class. Rapidly deployed without compromising on quality.Join our Remobi community to have access to meaningful, innovative freelance projects and play a key role in shaping how companies operate.Job Title: Robotic Process Automation Engineer Location: Remote Duration: Six Months Utilization: 40 hours/weekPosition Type: Freelance/Contract/B2BYour Responsibilities:The RPA Engineer utilizing Microsoft PowerApps is tasked with creating, deploying, and sustaining automated solutions aimed at streamlining business processes through the utilization of PowerApps and additional RPA tools.Identify, assess, and record business processes suitable for automation using Microsoft PowerApps.Devise and implement Robotic Process Automation (RPA) solutions with Microsoft PowerApps, considering business needs, system integration, and scalability.Develop and execute automated workflows via PowerApps, integrating seamlessly with other systems and applications to enhance the efficiency of business processes.Customize PowerApps applications to automate manual tasks, elevate data accuracy, and enhance user interaction.Establish integration between PowerApps and diverse data sources and APIs, automating processes related to data entry, extraction, and validation.Collaborate with QA Engineers to test, validate, and deploy RPA solutions created with PowerApps, ensuring functionality, usability, and reliability.Record details of RPA solutions, encompassing design specifications, technical documentation, and user guides, promoting knowledge transfer and facilitating future maintenance.Issue Resolution and Assistance: Identify and resolve issues tied to PowerApps-based RPA solutions, offering support to end-users and collaborating with other teams as needed.Training and Knowledge Exchange: Conduct end-user training on the effective utilization of PowerApps-based RPA solutions and share best practices within the team.Continuous Enhancement: Continuously evaluate and enhance RPA solutions, pinpointing opportunities for improvement, optimization, and the automation of additional processes.Your background:Mastery in Microsoft PowerApps and Power Automate.Hands-on expertise in crafting and executing RPA solutions employing PowerApps and other RPA tools.Understanding of concepts related to business process automation and optimization.Acquaintance with data integration and API development.Comprehension of software development principles and practices.Certifications in Microsoft Power Platform or RPA tools are advantageous."
 Junior RPA Developer,Electrical Engineer,DPS Group Global,"Cork, County Cork, Ireland",3 weeks ago,7 applicants,Not Provided,"On-site
", Contract , Mid-Senior level,"1,001-5,000 employees",Architecture and Planning,"About the jobElectrical Engineer (Facilities Background):An opportunity is now available for an Electrical Engineer with experience in Facilities Electrical systems. All non-GMP electrical systems, including, fire alarm systems, access control systems, non-QBAS systems, HV & MV electrical systems, gas monitoring systems.This person will be required to interact fully with all existing internal site systems including change control systems, EHS systems, drawing and documentation management systems.Ability to review and comment on global specs and standards for non-GMP systems to ensure that the requirements of the sites are incorporated into the specs and standards.Development and management of audits and audit findings for Electrical Systems Safety Programs, IT room assessments, electrical equipment reliability programs.Development of SLAs with local maintenance teams and external vendorsExperience in design and management of outsourcing models for maintenance of electrical non-GMP systemsA member of the Facilities Team who will be involved on a daily basis with:Ø Permitting/RAMS preparationØ MetricsØ SAP notifications/work ordersØ Ongoing Facilities projectsKey responsibilities§ Owner of electrical system on site§ Oversee statutory/regulatory inspections etc§ Manage outside vendors who supply and service electrical components§ Electrical Safety Program owner§ Access Control§ Site lightning protection§ Gas Detection System§ Power Factor Correction"
 Junior RPA Developer,Senior Automation Engineer,Sterling Engineering Ltd - Ireland & Europe,"County Louth, Ireland",2 weeks ago,7 applicants,Not Provided,"On-site
", Full-time , Mid-Senior level,201-500 employees,Staffing and Recruiting,"About the jobPosition: Senior Automation Engineer Location: LouthRenumeration package to reflect experience and qualifications.Our Client produce high quality automation solutions that impacts on the execution of real-world machinery and processes. Their automation enables autonomous aqua drones to navigate the seas, robots to assemble complex products, pharmaceuticals to produce life-changing medicines.They are a fast-growing company with great career opportunities, an ideal candidate would want to grow with them and have the vision of building the automation machines and solutions of the future.They are looking for a highly motivated, result-driven and confident Senior Automation Engineer.As a Senior Automation Engineer, your role will be the development, commissioning and support of automation control systems across a wide spectrum of industries utilising cutting edge technologies. You will be responsible for system designs, standard library roadmap’s, specifications, programming, simulation, testing and overseeing commissioning.The candidate must possess the technical expertise to maintain, develop, troubleshoot and validate these systems in a compliant manner. Responsibilities:Manage the specification, development, installation and validation of automation projects within budget and corporate guidelines.Software development of bespoke machines & manufacturing systems.Interact with the customers on technical requirements.Assess existing technologies and processes.Design and deliver best in class automation solutions.Work within a team and upskill junior engineers.Document the project and manage change control.Work independently and manage multiple tasks under tight deadlines.Ability to take ownership of projects.Qualifications:Third level qualification in Automation, Electrical, Mechanical, Electronic, Computer Science5+ Years industry experienceIndustry experience with preference for Rockwell Studio 5000, FT View, Ignition, Siemens TIA Portal/Step7, OSI PI Historian, VBA.Knowledge of 21 CFR Part 11 and GAMP an advantageCisco Networking qualification and or VMware or equivalent qualification an advantageKnowledge of Robotics and safety standards an advantageThorough knowledge of automation principles and proceduresAmbitious, confident and professional individual with strong communication and organisational skillsBy applying to this job post you agree that Sterling Engineering may process your personal data for recruitment purposes.For more information and a confidential chat please contact Gerard Cunniffe on 086 190 8885 or gcunniffe@sterlingengineeringeu.com"
 Junior RPA Developer,Automation Engineer,Cully Automation Ltd,"Cork, County Cork, Ireland",2 weeks ago,10 applicants,Not Provided,"On-site
", Full-time , Mid-Senior level,51-200 employees,Automation Machinery Manufacturing,"About the jobThe CompanyCully Automation are an Irish process control, automation and instrumentation company. They offer a full spectrum of services from the design and install of primary measurement equipment to large scale process automation and are industry leaders in the field of automation. Cully Automation offer services into various vertical markets with current primary focus on water and power industries with a plan to expand into further markets. Role SummaryCully Automation are currently recruiting for an Automation Engineer for the Automation and SCADA department. This is a full time and permanent role reporting to the Engineering Manager and includes travel from time to time based on project needs. This position is subject to a 6-month probationary period. The Automation Engineer will be initially working on large utilities projects with Lead Engineer/Senior Automation Engineer but will ultimately transition to the projects team supporting clients throughout the country. The candidate should have strong debugging skills with electrical/Instruments and computer knowledge, and the ability to deal with customer queries. Job ResponsibilitiesAssist in control and automation designs for projects related to the Water and Wastewater industryPreparation of project documentation including FDS and OMM's.Responsible for Systems, Software and Electrical DrawingsSupporting all aspects of the control systems within projects and ensure all aspects are completed on timeDesign and programming of PLC/HMI control systemsDesign and implementation of SCADA systemsDesign and implementation of Telemetry systemsTesting of control panels and automation systems including FAT and SATWork on own initiative on smaller projects and work as part of a team on larger projectsLiaise with the clients and Project ManagersLiaise with system vendors to source automated solutionsProvide technical support to existing customers The duties and responsibilities described are not a comprehensive list and additional tasks may be assigned to the employee from time to time as necessitated by business demands.   Skills RequiredDegree Level 8 in Engineering - Electrical, Automation and Control5 years’ post qualification experience and strong interest in automation engineeringPLC Programming experience on any such as Allen Bradley, Siemens, ABB, Schneider or OmronSCADA experience such as ICONICS, Intouch, Wonderware, WinCC or similar platformsPrevious experience in technical/hands on role and working with electrical/Instrument equipmentStrong understanding of industrial control systems, willing to learn and capable of learning in live project environmentsPrevious relevant experience in water/power systems an added advantage and instrumentation/measurement experience a distinct advantageKnowledge of object orientated programmingAbility to show initiative and complete out on assigned tasksExcellent communication skills, written and oral. Must be highly proficient in spoken and written EnglishProficient in Microsoft Word and ExcelAbility to collaborate at a variety of levels, coupled with excellent organisation, planning and team building skillsIn addition to problem solving, project management ability is essentialDemonstrate a professional and positive approach to workAbility to demonstrate strong customer relationship management skillsFull, clean driving licence  What We OfferCully Automation Ltd are committed to its employees and offer strong competitive salaries along with benefits such as Company vehicle, 3% pension contribution, enhanced annual leave with service, Income Protection Insurance, Death in Service Benefit, Learning and Development opportunities, bike to work scheme, company laptop, company phone and flexible working arrangements.Cully Automation is an expanding Irish business that encourages career development and progression of their workforce. The successful candidate will develop the skills to provide professional service in both workshop and field based environments."
 Junior RPA Developer,Lead Automation Engineer -Long-Term Rolling Contract,European Recruitment,"County Limerick, Ireland",2 weeks ago,4 applicants,Not Provided,"On-site
", Contract , Mid-Senior level,51-200 employees,Staffing and Recruiting,"About the jobAs a Lead Automation Engineer , you will be responsible for leading a team of automation engineers with the managing and implementing of new medical device production lines,for one of ERL global Leading BioPharma/Medical Device Clients.The Role and Primary Tasks:• Manage a Team of Automation Engineers to Deliver Capital projects.• Develop and manage the Automation Delivery Schedule.• Define tasks, timelines & and sequencing to deliver projects as per business schedule.• Manage interactions between Departments to ensure smooth execution of project deliverables.• Support Validation of the project as per quality Procedures.• Participate among multi-functional teams to ensure projects are delivered on time and to required quality standards.• Support the Automation team's problem resolution.• Support the Team in the Development, debugging, and validation of Control System software programs.• Strong analytical and problem-solving skills• Ability to organize, plan, and implement multiple tasks to tight schedules, to ensure work on time and within budget.• Highly motivated self-starter• Ability to detail own work clearly and accurately• Strong communication skills and a good technical understanding.• Monitor and analyze opportunities to develop new or improved tools for process improvement activities.• Attention to detailKey Position Responsibilities:• Develop a strong understanding of the business, strategic direction, organizational goals, and individual user needs.• Develop, Manage, and execute a project plan using a team of Automation Engineers.• Looking ahead to the next project to ensure Long time items are defined & and ordered.• Commission of new equipment as per Quality Standards.• Work within a cross-functional multidiscipline team environment.• Participates within project teams, provides technical support, and makes informed decisions on hardware and architecture selection.• Provide ideas and solutions for the improvement and development of control systems.• Maintain comprehensive documentation of code to Medical Device standards• Adopt and promote a strong cultural credo-based code of conduct.• Ensure effective closure on Quality System documentation and NC/CAPA actions• Prioritize multiple tasks while working to tight schedulesSkills, Abilities, and Education Requirements:• Bachelor's in Automation Engineering, Computer Science, Electrical Engineering, or related field preferred.• Good experience working with automated control systems.• 5 to 6 years in a technical PM Role.• Good experience in Allen Bradley ControlLogix 5000, Allen Bradley Guard Logix, Pilz Safety PLCs, Wonderware Intouch/ArchestrA, and FactoryTalk View HMI software.• Accustomed to working in a validated environment with strong discipline about change control.• Good organizational, planning, and prioritization skills; good oral and written communication skills."
 Junior RPA Developer,Automation Engineer,Veolia Ireland,"Cavan, County Cavan, Ireland",3 weeks ago,10 applicants,Not Provided,"On-site
", Full-time , Entry level,"501-1,000 employees",Environmental Services,"About the jobAutomation Engineer Location: Nationwide (Head-office is Kilkenny, but the successful candidate will be working in a variety of areas based on project requirements) Duration: Permanent  Overview of the Role:   Due to continued success and growth across the Water division, we are looking for an enthusiastic and hardworking individual to join the ECIA (Electrical, Instrument, Control & Automation) Team as an Automation Engineer. The successful candidate will work on a wide scope of Water and Wastewater Treatment projects across the Island of Ireland. With this in mind, you will be required to travel to other Veolia sites, plants and offices.   We are looking for an enthusiastic individual to work within a supportive, friendly and challenging environment, you will get to work on exciting projects, whilst learning from a diverse team of talented people and leading experts. What's more, you'll be provided with the freedom to push boundaries and constantly learn and develop your skill-set.  As a dynamic and progressive company, we encourage our employees to be ambitious and forward thinking so if you are seeking continued growth and have a drive to progress within an organisation Veolia Ireland can offer you career enhancement opportunities and the learning and development supports to achieve your goals.  Day to Day of the Role:  Planning and managing a diverse range of automation projects, from initial brief to programming, installation and commissioning Control, develop and modify software on PLC, HMI and SCADA systems Commissioning of project installations on site Prepare and deliver technical reports  Training of personnel both on-site and in-house Provision of on-site support as may be required for both planned and critical repairs Complete Factory Acceptance Tests and Site Acceptance Tests Design of automation systems and network architectures Assist in the selection and evaluation of EICA equipment, subcontractors and suppliers Working alongside the in-house Design team  Responsible for ensuring that works are carried out in accordance with both contractual and specific process requirements  Liaise with the client, when required, during project installation and commissioning Conduct site surveys to collect field data to develop drawings, layouts and designs Ensure Health, Safety, Environmental & Sustainability standards, policies and procedures are always adhered to on-site  Required Skills for the Role: Qualified to Degree, or higher, level in Automation Engineering or equivalent experience Excellent communication skills both verbal and written Knowledge of water and wastewater treatment industry (Desirable)  Travel is required for this role therefore we require a clean driving licence Experience of automation, instrumentation and drive networks, e.g. Modbus serial, ProfiBus, DeviceNET, Ethernet/IP, Modbus/TCP Proficiency with Schneider Automation (Desirable)  Experience with Rockwell, Omron or Mitsubishi automation Experienced in programming SCADA systems, such as AVEVA System Platform, Vijeo Citect & Rockwell Here at Veolia, we're proud to be known as an equal opportunities employer. We know how important it is to be fully committed to building and maintaining a diverse and inclusive place to work for every one of our colleagues. If you are an EU/EEA national, you will be asked to show proof of right to work in Ireland. If you are a non-EU/EEA national , you will require current and valid permission to work and reside in the Republic of Ireland. Information on legislation and guides to the procedures in relation to obtaining work permits, is available on the Department of Jobs, Enterprise and Innovation website."
 Junior RPA Developer,Senior Automation Engineer,Morgan McKinley,"Limerick, County Limerick, Ireland",2 weeks ago,3 applicants,Not Provided,"On-site
", Contract , Mid-Senior level,"1,001-5,000 employees",Staffing and Recruiting,"About the jobGreat opportunity for a Senior Automation Engineer to join a leading medical devices company in Limerick on a long term hourly rate contract. Hourly rate depending on experience.Multiple positions available due to many exciting projects pipelined.Job Responsibilities:Develop a strong understanding of the business, strategic direction, overall organizational goals and individual user needs.Lead Automation team as part of a project, to deliver robust technical solutions as per project timelines.Development of machine design control systems including servo motion and high-speed device integration.Develop, test and install PLC and control software as part of a highly automated, high volume 24/7 validated production environmentDevelop User, Functional and Detailed Design SpecificationsDevelop high quality PLC and HMI code from Functional and Detailed Design SpecificationsWork within a cross functional multidiscipline team environment.Participates within project teams, provide technical support and make informed decisions on hardware and architecture selection.Provide ideas and solutions for the improvement and development of control systems.Fault-find complex automation equipmentEnsure effective closure on Quality System documentation and NC/CAPA actionsPrioritize multiple tasks while working to tight schedulesEducation & Experience:Degree level qualified in a related field of study.5+ years experience in a similar role.Strong PLC background in Allen Bradley ControlLogix 5000, Allen Bradley Guard Logix, Schneider, Pilz Safety PLCs and Wonderware Intouch/ArchestrA, FactoryTalk View HMI software.For more information on the role please feel free to contact our specialist engineering recruiter Gerard Crowley by calling 021 2 300 300 or by emailing gcrowley@morganmckinley.com"
