Job Keyword,Job Title,Company Name,Location,Posted,Applicants,Salary,Remote/Hybrid,Job Type,Job Level,Company Size,Company Type,About Company,Country
RPA Developer,"Senior RPA Developer - UiPath, Celonis, ABBYY",Orbis,United Kingdom,Reposted 5 months ago,Over 100 applicants,"£50,000/yr - £75,000/yr ","Remote
", Full-time , Mid-Senior level,51-200 employees,Staffing and Recruiting,"About the jobSenior RPA Developer - RPA, UiPath, Celonis, ABBYY - Finance, P2P, O2CSalary: £50,0000 - £75,000 + Bonus and BenefitsLocation: UKOrbis have partnered with a leading international consultancy with over 100 clients, who look to design and implement next generation operating models, optimized processes and embed automation to find a Technical Lead (RPA, UiPath).This company has a primary focus on using innovation and tech to deliver more for each client. For the past 10 years they have bought experienced data tools and practitioners to help automate processes and drive transformation and real results delivered with assurance and high efficiency.You will be asked to help build automation, providing solutions with interesting and challenging projects. With a highly skilled team with an abundance of experience, in this highly driven, fast paced environment you will be working closely with stakeholders to ensure that solutions are met and built to fit all needs required.Key Responsibilities –Work with BA's to access and understand potential automation solutions to real life business problems.Provide clear, detailed documentation.Support existing automation's including, root cause analysis, clean-up, and bug fixes.Provide solutions and efficient models that can be translated to stakeholders.Work on high impact projects with high efficiencyContribute to design, build, implementation, testing and maintenance/support of automation solutions.Key Experience –2+ years’ experience in using and building with UiPath.Strong Understanding of best practices with operating models, optimized processes, and automationBeen involved in successful and high impact projects.Can translate models and results to stakeholders and clients.Don’t pass this opportunity if you want to join a leading consultancy with ample of growth opportunities and benefits. As well as work closely with stakeholders driving and automating successful projects!Please send a copy of your CV directly to this advertisement for immediate consideration.",united kingdom
RPA Developer,Senior RPA Developer - CRM,Hargreaves Lansdown,"Bristol, England, United Kingdom",6 days ago,30 applicants,Not Provided,"Remote
", Full-time , Mid-Senior level,"1,001-5,000 employees",Financial Services,"About the jobExcited to grow your career?Our purpose is to empower people to save and invest with confidence. We are looking for great people to join us, so please come and invest in YOUR future at HL. About the role Salary: Up to £65,000 dependent on experience We are looking for talented people to join our CRM team as we embark upon our RPA journey. If you are someone with a wealth of RPA experience and want to work on a green field implementation, then we could have a role for you. This is an opportunity to join the UK's number one investment services company, looking after over £120 billion in assets on behalf of 1.8 million UK investors. We are a secure, FTSE 250 company, based in the heart of Bristol now with over 2,700 people. This is your chance to genuinely stamp your mark on one of the UK's most innovative and digital-focused businesses. You'll be given the support and opportunity to grow your career whilst additionally receiving a personal development budget to further build on your knowledge.  What you'll be doingParticipate in the full application life cycle - design, development, testing, and deploymentWork with technical teams and architects to finalise architectural specifications - and create solution and integration designsSetting up, testing and monitoring automated workflows to ensure that business processes function at optimum efficiency without risk of errorMonitoring and maintaining automation post-implementation and resolving any potential issues to ensure smooth business operationsAssist in identifying, troubleshooting, and resolving defects encountered during various stages of project delivery, including during the deployment and implementation of the solution in production environmentsProduce project documentation, including functional and technical designsMaintain standards and best practices and educate our teamMentor developers, while learning from othersCultivate strong working relationships both within working squad and in HL as a whole  About youPossess excellent problem-solving skillsHave excellent written and verbal communicationGreat attention to detailMastery of Automation tools, such as Mulesoft RPA, UiPath, Blue Prism and/or Automation Anywhere  Interview process2 stage interview process, 1 informal chat, 1 technical / competency focused interview.  Working ScheduleStandard Mon - Fri, 09:00 - 17:30 (we are however very flexible on working schedule so please do reach out with any requirements)  Why us?Here at HL, we're the UK's number 1 investment platform for private investors, based in Bristol. For more than 40 years we've helped investors save time, tax and money on their investments. To achieve our mission, we believe we have a workplace like no other, with constant learning, dynamic teams, and a great ethos. We're steered by core values that promote service, quality, innovation, and opportunity in everything we do. What's on offer?Discretionary annual bonus & annual pay review25* days holiday plus bank holidays and 1-day additional Christmas closure timeOption to purchase an additional 5 days holiday per yearFlexible working options available, including hybrid workingPension scheme up to 11% employer contributionSharesave scheme - have a real stake in HL's futureIncome Protection & Life insurance (4 x salary core level of cover)Health care cash plans - including optical, dental, and out patientcareHelp@hand and an Employee Assistance ProgrammeGympass - gym memberships and wellbeing apps availableVariety of travel to work schemes with free bike storage and shower facilitiesAn inhouse barista serving subsidised coffee and snacksJoin HL's sports, I&D networks and volunteering groups (two paid volunteering days per year)LifeWorks Discounts on services, restaurants and retailers* up to 30 days depending on role level & increasing with length of service  We know that sometimes people can be put off applying for a job if they don't tick every box. If you're excited about working for us and have most of the skills or experience we're looking for, please go ahead and apply. We'd love to hear from you! Hargreaves Lansdown is an inclusive employer that values diversity in its workforce. We encourage applications from all individuals without regard to race, religion, gender, sexual orientation, national origin, disability or age. This role may also be available on a flexible working or part time basis - please ask the Recruitment & Onboarding team for more information. Please note, we are unable to provide employment sponsorship to candidates.",united kingdom
 Junior RPA Developer,"Senior RPA Developer - UiPath, Celonis, ABBYY",Orbis,United Kingdom,Reposted 5 months ago,Over 100 applicants,"£50,000/yr - £75,000/yr ","Remote
", Full-time , Mid-Senior level,51-200 employees,Staffing and Recruiting,"About the jobSenior RPA Developer - RPA, UiPath, Celonis, ABBYY - Finance, P2P, O2CSalary: £50,0000 - £75,000 + Bonus and BenefitsLocation: UKOrbis have partnered with a leading international consultancy with over 100 clients, who look to design and implement next generation operating models, optimized processes and embed automation to find a Technical Lead (RPA, UiPath).This company has a primary focus on using innovation and tech to deliver more for each client. For the past 10 years they have bought experienced data tools and practitioners to help automate processes and drive transformation and real results delivered with assurance and high efficiency.You will be asked to help build automation, providing solutions with interesting and challenging projects. With a highly skilled team with an abundance of experience, in this highly driven, fast paced environment you will be working closely with stakeholders to ensure that solutions are met and built to fit all needs required.Key Responsibilities –Work with BA's to access and understand potential automation solutions to real life business problems.Provide clear, detailed documentation.Support existing automation's including, root cause analysis, clean-up, and bug fixes.Provide solutions and efficient models that can be translated to stakeholders.Work on high impact projects with high efficiencyContribute to design, build, implementation, testing and maintenance/support of automation solutions.Key Experience –2+ years’ experience in using and building with UiPath.Strong Understanding of best practices with operating models, optimized processes, and automationBeen involved in successful and high impact projects.Can translate models and results to stakeholders and clients.Don’t pass this opportunity if you want to join a leading consultancy with ample of growth opportunities and benefits. As well as work closely with stakeholders driving and automating successful projects!Please send a copy of your CV directly to this advertisement for immediate consideration.",united kingdom
RPA Developer,Automation Engineer,PE Global,Greater Dublin,Reposted 5 days ago,39 applicants,Not Provided,"On-site
", Full-time , Associate,51-200 employees,Staffing and Recruiting,"About the jobPE Global is currently recruiting for an Automation Engineer for a leading biopharmaceutical client based in Dublin. This is an initial 12-month contract position. Position Summary Reporting to the Associate Director for Process Automation the Automation Engineer is part of the BMS team to be part of a Projects team in BMS Cruiserath Ireland. The Engineer is responsible for ensuring reliable and robust DeltaV DCS and vendor packaged equipment automation system technical design to meet business and process requirements including integration to other systems such as MES and the Data Historian. These IT/Automation systems are part of the overall delivery for the project team.  Key Responsibilities· Supporting the Automation Technical Leads and actively participating in the creation review and approval of the project deliverables, such as design documents, the configuration build, FAT, installation, commissioning and validation activities. · Supporting the technical delivery of Automation systems including the site DCS, DeltaV, a number of OEM supplied control systems and their integration to the site MES and Data Historian systems. · Regularly communicating and collaborating with the project team multi-functional team stakeholders including system vendors. · Participating in the development and implementation of the site Automation strategy for the lifecycle support and optimisation of the automation systems on site. Support the development of site procedures for the administration and maintenance of all systems. Actively participate in the ongoing improvement initiatives in support of Operations excellence. · Ensuring all design & project work is completed in compliance with all regulatory requirements. Qualifications & Experience Required Competencies · Problem solver with a focus on achievement of overall project goals. · Proven success working well in a team environment with flexibility to react to changing business needs. Required Qualification(s) and Desired Experience  · Bachelors or Masters Degree in Engineering, Information Systems, Computer Science or the Life Sciences · Experience providing process control and information systems solutions and support to manufacturing organisations in the Biotechnology or Pharmaceutical industries.     Interested candidates should submit an updated CV.Please click the link below to apply, or alternatively send an up-to-date CV to paul.wheatley@peglobal.net  ***Please note our client cannot assist with any visa sponsorship and candidates must have the correct visa to live and work in Ireland***",ireland
RPA Developer,Automation Engineer,Russell Tobin,"Dublin, County Dublin, Ireland",3 weeks ago,5 applicants,Not Provided,"On-site
", Contract , Mid-Senior level,201-500 employees,Staffing and Recruiting,"About the jobOur client, a multinational Pharmaceutical company with a state-of-the-art facility in Dublin, is currently looking for an Automation Engineer. In this role, you will be responsible for ensuring reliable and robust DeltaV DCS and vendor-packaged equipment automation systems that meet business and process requirements.Location: Dublin 15Duration: 12-month contractResponsibilities:- Collaborating with Automation Technical Leads to create, review, and approve project deliverables, including design documents, configuration builds, FAT, installation, commissioning, and validation activities.- Supporting the technical delivery of Automation systems, including the site DCS, DeltaV, and other OEM supplied control systems, and ensuring their integration to the site MES and Data Historian systems.- Regular communication and collaboration with the project team and stakeholders, including system vendors.- Participating in the development and implementation of the site Automation strategy for the lifecycle support and optimization of the automation systems on site.- Supporting the development of site procedures for the administration and maintenance of all systems.Required Qualifications, Knowledge, and Skills:- Experience with DeltaV is essential for this role.- Bachelors or Masters Degree in Engineering, Information Systems, Computer Science, or the Life Sciences.- Experience providing process control and information systems solutions and support to manufacturing organizations in the Biotechnology or Pharmaceutical industries.Why you should apply:- This position offers a 12-month contract.- You'll have the opportunity to work with a company and colleagues who truly value the difference they make.- Excellent work/life balance and onsite benefits.If you are interested, don't hesitate to apply today!",ireland
RPA Developer,Automation Engineer,PM Group,"Dublin, County Dublin, Ireland",1 week ago,1 applicant,Not Provided,"Hybrid
", Full-time,Not Provided,"1,001-5,000 employees",Architecture and Planning,"About the jobOverviewAre you an Automation Engineer with the experience in system design for industrial automation equipment from concept stage?We have a fantastic opportunity for an ambitious Automation Engineer to join our growing team in Dublin. With excellent people skills, you have a proven ability to work in partnership at all levels.With high levels of commitment, your responsibilities will include leading various stages of projects from concept to completion. This is an opportunity to be involved in a dynamic engineering department with exposure to multiple projects across different industry sectors.Who We ArePM Group is an employee owned, international project delivery firm with a team of 3,500+ people. We are world leaders in the pharma, food, medtech and mission critical sectors. From our network of offices in Europe, Asia and the US, we work with the world's leading organisations. We are focused on growing a sustainable business centred around our people, our clients and trade partners.ResponsibilitiesControl system design for industrial automation equipment from concept stage.Liaise with clients and the project design team to develop control system design specifications.Select and manage automation contractors through the project life cycle.Review and comment on system integrator and vendor design documentation.Liaise with automation vendors and keep up to date with the latest automation technology trends.Attend control system hardware and software FAT’s. QualificationsQualified to degree level 8 in Electronics systems, Mechatronics, Automation / Controls Technology or equivalent technical experience is required.5+ years’ experienceExperience in software development.Experience in the design of Industrial Control SystemsExperience of design of PLC / DCS based Control Systems.Experience in software architectures and design including S88, GAMP, 21CFRPart 11Knowledge of industrial networks (Ethernet/IP, Profinet, Profibus, Controlnet)Good understanding of Panel drawings and P&ID’SDesign/project experience should be mainly focused in the Pharmaceutical and Medical Devices SectorsApplications should have excellent inter personal and communication skills to liaise with international clients within the different sectorsHave the ability to work to strict deadlinesProactive, a good communicator with the ability to work well with others and on their own initiative in a multi-discipline environmentBe organised and adaptable with a flexible approachWhy PM Group?As an employee-owned company, we are inclusive, committed and driven. Corporate Responsibility and Sustainability are the heart of our new 2025 business strategy. Click here to read more in our Corporate Responsibility and Heath, Safety & Well-being Report 2022.Inclusion and Diversity are core to our culture and values. Wherever we work, we commit to a culture of mutual respect and belonging by building a truly inclusive workplace rich in diverse people, talents and ideas. Valuing the contributions of all our people and respecting individual differences will sustain our growth into the future.PM Group is committed to ensuring our hiring process is fair and accessible to all and will provide candidates with disabilities with reasonable accommodations required to participate in the recruitment process. If you require any assistance in this regard, please let us know.",ireland
RPA Developer,Automation Engineer,Veolia Ireland,"Cavan, County Cavan, Ireland",3 weeks ago,5 applicants,Not Provided,"On-site
", Full-time , Entry level,"501-1,000 employees",Environmental Services,"About the jobAutomation Engineer Location: Nationwide (Head-office is Kilkenny, but the successful candidate will be working in a variety of areas based on project requirements) Duration: Permanent  Overview of the Role:   Due to continued success and growth across the Water division, we are looking for an enthusiastic and hardworking individual to join the ECIA (Electrical, Instrument, Control & Automation) Team as an Automation Engineer. The successful candidate will work on a wide scope of Water and Wastewater Treatment projects across the Island of Ireland. With this in mind, you will be required to travel to other Veolia sites, plants and offices.   We are looking for an enthusiastic individual to work within a supportive, friendly and challenging environment, you will get to work on exciting projects, whilst learning from a diverse team of talented people and leading experts. What's more, you'll be provided with the freedom to push boundaries and constantly learn and develop your skill-set.  As a dynamic and progressive company, we encourage our employees to be ambitious and forward thinking so if you are seeking continued growth and have a drive to progress within an organisation Veolia Ireland can offer you career enhancement opportunities and the learning and development supports to achieve your goals.  Day to Day of the Role:  Planning and managing a diverse range of automation projects, from initial brief to programming, installation and commissioning Control, develop and modify software on PLC, HMI and SCADA systems Commissioning of project installations on site Prepare and deliver technical reports  Training of personnel both on-site and in-house Provision of on-site support as may be required for both planned and critical repairs Complete Factory Acceptance Tests and Site Acceptance Tests Design of automation systems and network architectures Assist in the selection and evaluation of EICA equipment, subcontractors and suppliers Working alongside the in-house Design team  Responsible for ensuring that works are carried out in accordance with both contractual and specific process requirements  Liaise with the client, when required, during project installation and commissioning Conduct site surveys to collect field data to develop drawings, layouts and designs Ensure Health, Safety, Environmental & Sustainability standards, policies and procedures are always adhered to on-site  Required Skills for the Role: Qualified to Degree, or higher, level in Automation Engineering or equivalent experience Excellent communication skills both verbal and written Knowledge of water and wastewater treatment industry (Desirable)  Travel is required for this role therefore we require a clean driving licence Experience of automation, instrumentation and drive networks, e.g. Modbus serial, ProfiBus, DeviceNET, Ethernet/IP, Modbus/TCP Proficiency with Schneider Automation (Desirable)  Experience with Rockwell, Omron or Mitsubishi automation Experienced in programming SCADA systems, such as AVEVA System Platform, Vijeo Citect & Rockwell Here at Veolia, we're proud to be known as an equal opportunities employer. We know how important it is to be fully committed to building and maintaining a diverse and inclusive place to work for every one of our colleagues. If you are an EU/EEA national, you will be asked to show proof of right to work in Ireland. If you are a non-EU/EEA national , you will require current and valid permission to work and reside in the Republic of Ireland. Information on legislation and guides to the procedures in relation to obtaining work permits, is available on the Department of Jobs, Enterprise and Innovation website.",ireland
RPA Developer,Automation Engineer,European Recruitment,"Dublin, County Dublin, Ireland",3 days ago,45 applicants,Not Provided,"On-site
", Full-time , Associate,51-200 employees,Staffing and Recruiting,"About the jobEuropean Recruitment are supporting one of their trusted clients in Dublin in search of an Automation Engineer with PLC experience across multiple platforms such as Allen Bradley/Rockwell and Siemens, ultimately helping to expand onsite project support for end clients. This is a fantastic permanent opportunity to get involved with major Pharmaceutical projects across Ireland where your contribution to the project truly matters. Responsibilities:Automation SME for assigned systemsManagement and execution of automation change controlsAide the identification/implementation of system improvements and corrective actions.Aide the coaching of operators and maintenance technicians in the effective use of the control systems.Management of subcontractors and vendors as part of project delivery.Represent client as part of qualification and testing of any vendor provided systemsProvide automation support and expertise to cross functional teams for the introduction of new products on existing production linesSkills and Education:Third level qualification in Electrical, Electronic, Systems Engineering, Computer Science or Equivalent.3+ years’ experience working with automated control systems preferably in the Life Sciences/ Pharma sectorExcellent communication skills.PLC/HMI/SCADA Experience with the following technologies: Siemens S7, TIA Portal, PCS7 , Delta V, WinCC, Desigo , Aveva / Wonderware Intouch, Rockwell/Allen Bradley etc. If this role is of interest to you or you’d like to hear more, please click the link below or reach out to me via email with a copy of your CV for a confidential chat on sritson@eu-recruit.com .By applying to this role you understand that we may collect your personal data and store and process it on our systems. For more information please see our Privacy Notice (https://eu-recruit.com/about-us/privacy-notice/).",ireland
RPA Developer,Automation Engineer,West Pharmaceutical Services,"Dublin, County Dublin, Ireland",Reposted 1 week ago,3 applicants,Not Provided,Full-time , Associate,Not Provided,"5,001-10,000 employees",Pharmaceutical Manufacturing,"About the jobDescriptionAt West, we’re a dedicated team that is connected by a purpose to improve patient lives that has been at the center of our Company for more than a century. Our story began when Herman O. West solved the problem of supplying penicillin in mass quantities to the US Government during World War 2. Through our work to deliver thousands of life-saving and life-enhancing injectable medicines to millions of patients daily, West’s indelible mark on the healthcare industry has just begun. A name started our story. How will yours help write our future?There’s no better place to join an inclusive community of professionals with opportunities for lifelong learning, growth and development. Supported by benefit programs, we empower the physical, mental, emotional and financial health of our team members and their families.We believe in giving back to help those in need in the communities where we live and work. And are equally committed to creating a healthier environment and planet through our sustainability efforts.Job SummaryWorking within the Operations or Development Department supporting new manufacturing projects. Specifying, purchasing, and managing the implementation of new manufacturing solutions to meet the requirements of customers’ new product introductions. Reporting directly to the Senior Automation Engineer or above.Essential Duties And Responsibilities Manage new equipment process and product introduction projects.  Develop and implement manufacturing strategy to meet customer and West’s needs.  Establish and manage project teams, identifying deliverables, time, and cost, setting priorities, and reporting to meet the needs of the business and the customer.  Establishes relationships with the customers and equipment suppliers in pursuit of new business, product development, manufacturing process development, continuous improvement, and on-going business development.  Manage equipment suppliers ensuring delivery meets specification, cost, and time.  Ensure that new equipment meets the regulatory requirements of the business, validation, health, and safety etc.  Install new equipment with appropriate training and hand over to operations.  Work with all departments across the business to ensure that new processes meet their requirements.  Identify, specify, and introduce new manufacturing methods and opportunities into the company.  Represent West at customer meetings to ensure that the needs of the business are met.  Assist with the training and development of personnel on new processes or systems introduced to the company.  Ensure that procedures and systems are in place to facilitate the introduction of new processes and equipment.  Take the role of technical expert in the field of automated manufacturing processes and develop the understanding and competency of the business to meet the requirements of customers.  Compliance to all site Environmental, Health and Safety requirements training, and regulations.  Compliance to all local site company policies, procedures, and corporate policies.  Perform additional duties at the request of the direct supervisor.  Act in accordance with the company’s guiding principles and adhere to the corporate Code of Conduct. Basic Qualifications Must have a minimum of a NFQ Level 7 Degree in engineering or equivalent. A degree in Automation, Mechatronics or Mechanical Engineering is preferred.  Must have at least 3 years’ experience in engineering.  Must be familiar with the hardware and software components of PLCs and vision control systems. Preferably with Allen Bradley or Siemens PLCs and Cognex Vision systems.  Must have high level knowledge Barcode Scanning & RFID Automatic Identification and Data Capture used in High Volume Manufacturing.  Must have high level knowledge of Industrial Networks architectures (Ethernet IP, Control Net & Profibus) and have an ability to fault find network problems.  Must have a very good knowledge of machine control systems and integrated manufacturing control systems including MES and Batch Manufacturing along with practical experience in querying SQL Databases  Must have a very good knowledge of manufacturing automation, machine design, development, and validation process. Excellent understanding on GAMP 5 guidelines will also be an advantage.  Must have experience in a customer facing environment. Preferred Knowledge, Skills, And Abilities Preferably have a knowledge of EU-GMP.  Preferably worked in either the medical, packaging, or technological industries with a good understanding of the regulatory requirements and exposure to serialization.  Excellent understanding of MS Project would be a distinct advantage as would certification in a project management discipline i.e., PMP (Project Management Professional).  Aware of all relevant standard operating procedures as per Company policy as they are related to the position covered by this Job Description.  Lean Sigma certification. Travel Requirements Must be able to travel up to 10% of the time. Physical And Mental Requirements This job is classified as light since the candidate will work mainly seated in front of their computer and only occasionally help with hands-on tasks on the production floor.  Strong decision-making abilities and an ability to be assertive when required.  Excellent written and verbal communication skills, with experience interacting with senior stakeholders and executive teams.  Must be able to organize and prioritize tasks; must be detail orientated and self-motivated.  Must be able to deal with all levels of employees and work across various departments.  Must be able to work in a fast-paced environment. Delegation Of DutiesWhen absent from the site duties and responsibilities will be delegated to the following designates: Automation Manager  Senior Automation Engineer  Automation Technician West embraces diversity and equality of opportunity. We foster an environment where all individuals are safe, treated fairly, valued and respected. We do not discriminate on the basis of race, religion, color, national origin, gender, sex, gender identity, sexual orientation, age, marital status, veteran status, disability status or other applicable legally protected characteristics. Where permitted by law, employment with West Pharmaceutical Services, Inc. or any of its subsidiary or affiliate companies, is contingent upon the satisfactory completion of post-offer background screening and/or drug screening. ",ireland
RPA Developer,Automation Engineer - Playwright,Expleo Group,"Dublin, County Dublin, Ireland",Reposted 2 weeks ago,37 applicants,Not Provided,"Hybrid
", Full-time , Entry level,"10,001+ employees",IT Services and IT Consulting,"About the jobYou will join our high performance team of Technical Engineers and take full responsibility for a technical area. You will works on quality engineering projects using available frameworks including Playwright and tools and establishing plans for projects with on-time and on-budget project goals. This role is Hybrid Responsibilities Work on multiple phases of a project and/or multiple small projects of moderate scope and sometimes complex assignments  Take responsibility for a technical area and works on results evaluation, problem resolution and planning  Selects appropriate standards, methods, tools and applications for project use  Apply data analysis and data modelling techniques to modify or maintain a data structure and its associated components (entity descriptions, relationship descriptions, attribute definitions)  Create and executes basic non-functional test scripts following a given set of guidelines and sets up test environments, data and monitors  Design, code, test and document simple programs or scripts and assists in the implementation of software which forms part of a properly engineered system  Co-ordinate the information gathering and reporting process, conduct research to define problems and prepare responses to anticipated questions  Accurately identify project risks and report effectively to relevant stakeholders. Manage issues, risks, actions, dependencies, and defects to the success of the project  Create traceability records, from test cases back to requirements  Report on system quality and collects metrics on test cases  Produce test scripts, materials and regression test packs to test new and amended software or services  Maintain the status of project and provides guidance to the work of junior team members, works across teams to achieve group goals Qualifications Bachelor’s Degree in Computer Science, Information Systems, or other related field, or equivalent work experience  ISTQB Foundation Skills Excellent client-facing skills  Team work and emotional intelligence  Good self-management – continuous performance is both an objective and a mind-set  Has an innovative approach – a bold thinker and doer, matching creativity with vigilance  High value on openness and transparency  Excellent communication and presentations skills Experience Intermediate theoretical knowledge in quality engineering methodologies and has awareness of opportunities provided by new and emerging technologies and products.  Has good applications/technology knowledge, building on specialist domain knowledge and has practical experience of engineering tools and platforms required to deliver.  Experience with Playwright  Knowledge in any of the performance testing, data and test automation tools such as HP Performance Centre/LoadRunner, HP UFT /QTP, HP Service Test, Service Virtualize, SoapUI, CA LISA, CA GridTools Data Maker/ DataManager, JMeter, Neoload, Selenium, IBM Rational Integration Tester, Rational Robot, Borland SilkTest, TOSCA, Atlassian Jira, Jenkins, Selenium, Cucumber, Gherkin etc.  Programming knowledge (ideally VB, Java, C#) and technical expertise in script languages (Shell, Perl, etc.).Good knowledge on Cloud concepts and virtualisation BenefitsAt Expleo, we are committed to providing a competitive salary and a substantial benefits offering with unique wellbeing, financial and employee recognition programmes.We pride ourselves on our diverse and inclusive culture and offer a variety of family friendly policies and enhanced leave to help our you achieve a healthy work life balance.By providing significant learning and development opportunities, we encourage individual growth and success throughout your career with us. Collaborative working environment – we stand shoulder to shoulder with our clients and ours peers through good times and challenges  We empower all passionate technology loving professionals by allowing them to expand their skills and take part in inspiring projects  Expleo Academy - enables you to acquire and develop the right skills by delivering a suite of accredited training courses  Competitive company benefits such as medical and dental insurance, pension, life assurance, employee wellbeing programme, sports and social events, birthday hampers and much more!  Always working as one team, our people are not afraid to think big and question the status quo. “We are an equal opportunities employer and welcome applications from all suitably qualified persons regardless of their race, sex, disability, religion/belief, sexual orientation or age”.At Expleo, we understand that many people experience impostor syndrome throughout their lifetime, please do not let this discourage you from applying for this role. Our Talent Acquisition Team welcomes all CV’s and will consider your application in line with the values, requirements and role competencies.",ireland
